,number,value,datetime_start,datetime_complete,duration,params_clip_range,params_exponent_n_steps,params_learning_rate,state
36,36,-26639.03636344988,2023-10-06 04:48:16.000898,2023-10-06 05:03:02.705218,0 days 00:14:46.704320,0.27226660789295243,9,0.0008101613952763046,COMPLETE
37,37,-24871.346511926502,2023-10-06 05:03:02.706561,2023-10-06 05:17:47.913522,0 days 00:14:45.206961,0.20332636159652012,9,0.0007084683554808585,COMPLETE
38,38,-27635.241607563803,2023-10-06 05:17:47.914747,2023-10-06 05:32:26.912449,0 days 00:14:38.997702,0.1987795950046369,7,0.0005623434253438566,COMPLETE
39,39,-28102.028693387052,2023-10-06 05:32:26.913794,2023-10-06 05:47:19.811656,0 days 00:14:52.897862,0.25076034959346477,8,0.0006875826969494053,COMPLETE
40,40,-26773.047057900578,2023-10-06 05:47:19.813112,2023-10-06 06:02:02.144118,0 days 00:14:42.331006,0.28189329768313687,8,0.0005051113812816755,COMPLETE
41,41,-25611.11894257646,2023-10-06 06:02:02.145497,2023-10-06 06:16:54.840460,0 days 00:14:52.694963,0.20723188567507378,9,0.0007041799033133895,COMPLETE
42,42,-26165.072395899217,2023-10-06 06:16:54.841652,2023-10-06 06:31:38.054005,0 days 00:14:43.212353,0.2025671635289528,9,0.0005928052331314997,COMPLETE
43,43,-24801.37234725221,2023-10-06 06:31:38.055343,2023-10-06 06:46:57.863850,0 days 00:15:19.808507,0.1776284429251464,9,0.0006590711508563848,COMPLETE
44,44,-26688.02302441746,2023-10-06 06:46:57.869838,2023-10-06 07:01:30.961586,0 days 00:14:33.091748,0.16518090478520486,9,0.0006844012729620098,COMPLETE
45,45,-27444.675346923992,2023-10-06 07:01:30.962754,2023-10-06 07:10:11.257767,0 days 00:08:40.295013,0.17627808604262774,11,0.0008702251359129556,COMPLETE
46,46,-25753.847988197114,2023-10-06 07:10:11.259221,2023-10-06 07:24:41.745107,0 days 00:14:30.485886,0.18974559403167393,9,0.0008869063290761836,COMPLETE
47,47,-24619.81366448989,2023-10-06 07:24:41.746423,2023-10-06 07:39:22.852199,0 days 00:14:41.105776,0.14989062028302944,9,0.0006314339289684909,COMPLETE
48,48,-27481.117061477387,2023-10-06 07:39:22.853566,2023-10-06 07:48:27.761333,0 days 00:09:04.907767,0.15536163186353089,11,0.000607788736383522,COMPLETE
49,49,-26855.595311377547,2023-10-06 07:48:27.762707,2023-10-06 08:09:22.091695,0 days 00:20:54.328988,0.1454898347672152,10,0.0004936672852911977,COMPLETE
50,50,-26308.22468219319,2023-10-06 08:09:22.243937,2023-10-06 08:25:17.989495,0 days 00:15:55.745558,0.13410870674565561,8,0.0005603525892169309,COMPLETE
51,51,-25908.324761275086,2023-10-06 08:25:18.010208,2023-10-06 08:40:45.753398,0 days 00:15:27.743190,0.179524087208245,9,0.0006937749818052779,COMPLETE
52,52,-29206.605752960313,2023-10-06 08:40:45.769710,2023-10-06 08:49:50.455290,0 days 00:09:04.685580,0.16952160678598546,9,0.0006602749175100503,COMPLETE
53,53,-27102.73355414532,2023-10-06 08:49:50.456943,2023-10-06 09:07:57.673694,0 days 00:18:07.216751,0.19141945636048688,10,0.0008512582037463393,COMPLETE
54,54,-27161.43860951485,2023-10-06 09:07:57.675785,2023-10-06 09:19:55.053457,0 days 00:11:57.377672,0.2625976078202312,9,0.0007350075125422546,COMPLETE
